
Loaded 8442 rows (all programs, all sheets).
Compiling with 20 parallel workers.

  [25/8442] compiled=25 failed=0 unspecified=0 cost=$1.14
  [50/8442] compiled=50 failed=0 unspecified=0 cost=$2.30
  [75/8442] compiled=75 failed=0 unspecified=5 cost=$3.47
  [100/8442] compiled=100 failed=0 unspecified=5 cost=$4.61
  [125/8442] compiled=125 failed=0 unspecified=6 cost=$5.77
  [150/8442] compiled=150 failed=0 unspecified=6 cost=$6.93
  [175/8442] compiled=175 failed=0 unspecified=6 cost=$8.07
  [200/8442] compiled=200 failed=0 unspecified=8 cost=$9.23
  [225/8442] compiled=225 failed=0 unspecified=15 cost=$10.40
  [250/8442] compiled=249 failed=1 unspecified=17 cost=$11.55
  [checkpoint] 249 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [275/8442] compiled=274 failed=1 unspecified=18 cost=$12.70
  [300/8442] compiled=299 failed=1 unspecified=18 cost=$13.85
  [325/8442] compiled=324 failed=1 unspecified=18 cost=$15.03
  [350/8442] compiled=349 failed=1 unspecified=19 cost=$16.21
  [375/8442] compiled=374 failed=1 unspecified=19 cost=$17.38
  [400/8442] compiled=399 failed=1 unspecified=19 cost=$18.56
  [425/8442] compiled=424 failed=1 unspecified=19 cost=$19.72
  [450/8442] compiled=449 failed=1 unspecified=21 cost=$20.88
  [475/8442] compiled=474 failed=1 unspecified=22 cost=$22.04
  [500/8442] compiled=499 failed=1 unspecified=22 cost=$23.21
  [checkpoint] 499 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [525/8442] compiled=524 failed=1 unspecified=23 cost=$24.38
  [550/8442] compiled=549 failed=1 unspecified=23 cost=$25.54
  [575/8442] compiled=573 failed=2 unspecified=24 cost=$26.71
  [600/8442] compiled=598 failed=2 unspecified=24 cost=$27.87
  [625/8442] compiled=623 failed=2 unspecified=24 cost=$29.00
  [650/8442] compiled=648 failed=2 unspecified=24 cost=$30.15
  [675/8442] compiled=673 failed=2 unspecified=25 cost=$31.31
  [700/8442] compiled=698 failed=2 unspecified=26 cost=$32.47
  [725/8442] compiled=723 failed=2 unspecified=26 cost=$33.62
  [750/8442] compiled=748 failed=2 unspecified=26 cost=$34.77
  [checkpoint] 748 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [775/8442] compiled=773 failed=2 unspecified=28 cost=$35.92
  [800/8442] compiled=798 failed=2 unspecified=28 cost=$37.06
  [825/8442] compiled=823 failed=2 unspecified=35 cost=$38.24
  [850/8442] compiled=848 failed=2 unspecified=39 cost=$39.41
  [875/8442] compiled=873 failed=2 unspecified=39 cost=$40.58
  [900/8442] compiled=898 failed=2 unspecified=39 cost=$41.74
  [925/8442] compiled=922 failed=3 unspecified=39 cost=$42.89
  [950/8442] compiled=947 failed=3 unspecified=39 cost=$44.05
