
Loaded 8442 rows (all programs, all sheets).
Compiling with 20 parallel workers.

  [25/8442] compiled=25 failed=0 unspecified=0 cost=$1.14
  [50/8442] compiled=50 failed=0 unspecified=0 cost=$2.30
  [75/8442] compiled=75 failed=0 unspecified=5 cost=$3.47
  [100/8442] compiled=100 failed=0 unspecified=5 cost=$4.62
  [125/8442] compiled=125 failed=0 unspecified=6 cost=$5.77
  [150/8442] compiled=150 failed=0 unspecified=6 cost=$6.93
  [175/8442] compiled=175 failed=0 unspecified=6 cost=$8.08
  [200/8442] compiled=200 failed=0 unspecified=8 cost=$9.24
  [225/8442] compiled=225 failed=0 unspecified=15 cost=$10.40
  [250/8442] compiled=249 failed=1 unspecified=17 cost=$11.54
  [checkpoint] 249 real Check objects + applicability written
  [275/8442] compiled=274 failed=1 unspecified=18 cost=$12.70
  [300/8442] compiled=299 failed=1 unspecified=18 cost=$13.85
  [325/8442] compiled=324 failed=1 unspecified=18 cost=$15.02
  [350/8442] compiled=349 failed=1 unspecified=18 cost=$16.20
  [375/8442] compiled=374 failed=1 unspecified=18 cost=$17.37
  [400/8442] compiled=399 failed=1 unspecified=18 cost=$18.55
  [425/8442] compiled=424 failed=1 unspecified=18 cost=$19.71
  [450/8442] compiled=449 failed=1 unspecified=19 cost=$20.87
  [475/8442] compiled=474 failed=1 unspecified=21 cost=$22.03
  [500/8442] compiled=499 failed=1 unspecified=21 cost=$23.20
  [checkpoint] 499 real Check objects + applicability written
  [525/8442] compiled=524 failed=1 unspecified=22 cost=$24.36
  [550/8442] compiled=549 failed=1 unspecified=22 cost=$25.52
  [575/8442] compiled=574 failed=1 unspecified=23 cost=$26.69
  [600/8442] compiled=599 failed=1 unspecified=23 cost=$27.84
  [625/8442] compiled=624 failed=1 unspecified=23 cost=$28.98
  [650/8442] compiled=649 failed=1 unspecified=23 cost=$30.13
  [675/8442] compiled=674 failed=1 unspecified=24 cost=$31.29
  [700/8442] compiled=699 failed=1 unspecified=25 cost=$32.45
  [725/8442] compiled=724 failed=1 unspecified=25 cost=$33.60
  [750/8442] compiled=749 failed=1 unspecified=25 cost=$34.75
  [checkpoint] 749 real Check objects + applicability written
  [775/8442] compiled=774 failed=1 unspecified=27 cost=$35.90
  [800/8442] compiled=799 failed=1 unspecified=27 cost=$37.04
  [825/8442] compiled=824 failed=1 unspecified=33 cost=$38.23
  [850/8442] compiled=849 failed=1 unspecified=38 cost=$39.40
  [875/8442] compiled=874 failed=1 unspecified=39 cost=$40.56
  [900/8442] compiled=899 failed=1 unspecified=39 cost=$41.72
  [925/8442] compiled=924 failed=1 unspecified=39 cost=$42.88
  [950/8442] compiled=949 failed=1 unspecified=39 cost=$44.04
  [975/8442] compiled=973 failed=2 unspecified=40 cost=$45.20
  [1000/8442] compiled=998 failed=2 unspecified=40 cost=$46.37
  [checkpoint] 998 real Check objects + applicability written
  [1025/8442] compiled=1022 failed=3 unspecified=40 cost=$47.53
  [1050/8442] compiled=1047 failed=3 unspecified=40 cost=$48.69
  [1075/8442] compiled=1072 failed=3 unspecified=40 cost=$49.84
